X,Y,Z,C
107,-125.378,150,0
107,-125.378,149.8,0
107,-125.377,149.6,0
107,-125.376,149.4,0
107,-125.375,149.2,0
107,-125.373,149,0
107,-125.372,148.8,0
107,-125.369,148.6,0
107,-125.367,148.4,0
107,-125.364,148.2,0
107,-125.361,148,0
107,-125.357,147.8,0
107,-125.353,147.6,0
107,-125.349,147.4,0
107,-125.345,147.2,0
107,-125.34,147,0
107,-125.334,146.8,0
107,-125.329,146.6,0
107,-125.323,146.401,0
107,-125.316,146.201,0
107,-125.31,146.001,0
107,-125.303,145.801,0
107,-125.295,145.601,0
107,-125.288,145.401,0
107,-125.28,145.201,0
107,-125.271,145.002,0
107,-125.263,144.802,0
107,-125.254,144.602,0
107,-125.244,144.402,0
107,-125.234,144.202,0
107,-125.224,144.003,0
107,-125.214,143.803,0
107,-125.203,143.603,0
107,-125.192,143.404,0
107,-125.18,143.204,0
107,-125.168,143.004,0
107,-125.156,142.805,0
107,-125.143,142.605,0
107,-125.13,142.405,0
107,-125.117,142.206,0
107,-125.103,142.006,0
107,-125.089,141.807,0
107,-125.075,141.607,0
107,-125.06,141.408,0
107,-125.045,141.208,0
107,-125.03,141.009,0
107,-125.014,140.81,0
107,-124.998,140.61,0
107,-124.981,140.411,0
107,-124.964,140.212,0
107,-124.947,140.012,0
107,-124.929,139.813,0
107,-124.911,139.614,0
107,-124.893,139.415,0
107,-124.874,139.216,0
107,-124.855,139.017,0
107,-124.836,138.818,0
107,-124.816,138.619,0
107,-124.796,138.42,0
107,-124.775,138.221,0
107,-124.755,138.022,0
107,-124.733,137.823,0
107,-124.712,137.624,0
107,-124.69,137.425,0
107,-124.668,137.227,0
107,-124.645,137.028,0
107,-124.622,136.829,0
107,-124.598,136.631,0
107,-124.575,136.432,0
107,-124.55,136.233,0
107,-124.526,136.035,0
107,-124.501,135.836,0
107,-124.476,135.638,0
107,-124.45,135.44,0
107,-124.424,135.241,0
107,-124.398,135.043,0
107,-124.371,134.845,0
107,-124.344,134.647,0
107,-124.317,134.449,0
107,-124.289,134.251,0
107,-124.261,134.053,0
107,-124.232,133.855,0
107,-124.203,133.657,0
107,-124.174,133.459,0
107,-124.144,133.261,0
107,-124.114,133.063,0
107,-124.084,132.866,0
107,-124.053,132.668,0
107,-124.022,132.471,0
107,-123.991,132.273,0
107,-123.959,132.076,0
107,-123.926,131.878,0
107,-123.894,131.681,0
107,-123.861,131.484,0
107,-123.827,131.286,0
107,-123.794,131.089,0
107,-123.76,130.892,0
107,-123.725,130.695,0
107,-123.69,130.498,0
107,-123.655,130.301,0
107,-123.62,130.105,0
107,-123.584,129.908,0
107,-123.547,129.711,0
107,-123.511,129.515,0
107,-123.474,129.318,0
107,-123.436,129.122,0
107,-123.398,128.925,0
107,-123.36,128.729,0
107,-123.322,128.533,0
107,-123.283,128.336,0
107,-123.244,128.14,0
107,-123.204,127.944,0
107,-123.164,127.748,0
107,-123.123,127.552,0
107,-123.083,127.357,0
107,-123.042,127.161,0
107,-123,126.965,0
107,-122.958,126.77,0
107,-122.916,126.574,0
107,-122.873,126.379,0
107,-122.83,126.183,0
107,-122.787,125.988,0
107,-122.743,125.793,0
107,-122.699,125.598,0
107,-122.655,125.403,0
107,-122.61,125.208,0
107,-122.565,125.013,0
107,-122.519,124.818,0
107,-122.473,124.624,0
107,-122.427,124.429,0
107,-122.38,124.235,0
107,-122.333,124.04,0
107,-122.286,123.846,0
107,-122.238,123.652,0
107,-122.19,123.458,0
107,-122.141,123.264,0
107,-122.092,123.07,0
107,-122.043,122.876,0
107,-121.994,122.682,0
107,-121.944,122.489,0
107,-121.893,122.295,0
107,-121.843,122.102,0
107,-121.791,121.908,0
107,-121.74,121.715,0
107,-121.688,121.522,0
107,-121.636,121.329,0
107,-121.583,121.136,0
107,-121.531,120.943,0
107,-121.477,120.75,0
107,-121.424,120.557,0
107,-121.37,120.365,0
107,-121.315,120.172,0
107,-121.261,119.98,0
107,-121.205,119.788,0
107,-121.15,119.596,0
107,-121.094,119.403,0
107,-121.038,119.212,0
107,-120.981,119.02,0
107,-120.925,118.828,0
107,-120.867,118.636,0
107,-120.81,118.445,0
107,-120.752,118.253,0
107,-120.693,118.062,0
107,-120.635,117.871,0
107,-120.576,117.68,0
107,-120.516,117.489,0
107,-120.456,117.298,0
107,-120.396,117.107,0
107,-120.336,116.917,0
107,-120.275,116.726,0
107,-120.214,116.536,0
107,-120.152,116.345,0
107,-120.09,116.155,0
107,-120.028,115.965,0
107,-119.965,115.775,0
107,-119.902,115.585,0
