p1,v1,p2,v2,p3,v3,p4,v4,dt
0.0,2.25,0.0,0.0,0.0,0.0,-0.0,0.0,50
0.1125,6.75,0.0,0.0,0.0,0.0,-0.0,0.0,50
0.45,11.25,0.0,0.0,0.0,0.0,-0.0,0.0,50
1.0125,15.750000000000002,0.0,0.0,0.0,0.0,-0.0,0.0,50
1.8,20.249999999999996,0.0,0.0,0.0,0.0,-0.0,0.0,50
2.8125,24.749999999999996,0.0,0.0,0.0,0.0,-0.0,0.0,50
4.05,29.250000000000007,0.0,0.0,0.0,0.0,-0.0,0.0,50
5.5125,33.75,0.0,0.0,0.0,0.0,-0.0,0.0,50
7.2,38.25000000000001,0.0,0.0,0.0,0.0,-0.0,0.0,50
9.1125,42.749999999999986,0.0,0.0,0.0,0.0,-0.0,0.0,50
11.25,47.250000000000014,0.0,0.0,0.0,0.0,-0.0,0.0,50
13.6125,51.74999999999997,0.0,0.0,0.0,0.0,-0.0,0.0,50
16.2,56.25000000000007,0.0,0.0,0.0,0.0,-0.0,0.0,50
19.012500000000003,60.74999999999996,0.0,0.0,0.0,0.0,-0.0,0.0,50
22.05,65.24999999999999,0.0,0.0,0.0,0.0,-0.0,0.0,50
25.3125,69.75000000000001,0.0,0.0,0.0,0.0,-0.0,0.0,50
28.8,74.25000000000004,0.0,0.0,0.0,0.0,-0.0,0.0,50
32.5125,78.75,0.0,0.0,0.0,0.0,-0.0,0.0,50
36.45,83.25000000000003,0.0,0.0,0.0,0.0,-0.0,0.0,50
40.612500000000004,87.74999999999991,0.0,0.0,0.0,0.0,-0.0,0.0,50
45.0,92.25000000000009,0.0,0.0,0.0,0.0,-0.0,0.0,50
49.612500000000004,96.74999999999997,0.0,0.0,0.0,0.0,-0.0,0.0,50
54.45,101.25,0.0,0.0,0.0,0.0,-0.0,0.0,50
59.5125,105.74999999999989,0.0,0.0,0.0,0.0,-0.0,0.0,50
64.8,110.25000000000006,0.0,0.0,0.0,0.0,-0.0,0.0,50
70.3125,114.75000000000023,0.0,0.0,0.0,0.0,-0.0,0.0,50
76.05000000000001,119.24999999999983,0.0,0.0,0.0,0.0,-0.0,0.0,50
82.0125,123.75,0.0,0.0,0.0,0.0,-0.0,0.0,50
88.2,128.25000000000017,0.0,0.0,0.0,0.0,-0.0,0.0,50
94.61250000000001,132.74999999999977,0.0,0.0,0.0,0.0,-0.0,0.0,50
101.25,137.25000000000023,0.0,0.0,0.0,0.0,-0.0,0.0,50
108.11250000000001,141.74999999999983,0.0,0.0,0.0,0.0,-0.0,0.0,50
115.2,146.25,0.0,0.0,0.0,0.0,-0.0,0.0,50
122.5125,150.75000000000017,0.0,0.0,0.0,0.0,-0.0,0.0,50
130.05,155.24999999999977,0.0,0.0,0.0,0.0,-0.0,0.0,50
137.8125,159.75000000000023,0.0,0.0,0.0,0.0,-0.0,0.0,50
145.8,164.2500000000001,0.0,0.0,0.0,0.0,-0.0,0.0,50
154.01250000000002,168.75,0.0,0.0,0.0,0.0,-0.0,0.0,50
162.45000000000002,173.2499999999999,0.0,0.0,0.0,0.0,-0.0,0.0,50
171.1125,177.74999999999977,0.0,0.0,0.0,0.0,-0.0,0.0,50
180.0,177.74999999999977,0.0,0.0,0.0,0.0,-0.0,0.0,50
188.8875,173.25000000000045,0.0,0.0,0.0,0.0,-0.0,0.0,50
197.55,168.75,0.0,0.0,0.0,0.0,-0.0,0.0,50
205.9875,164.24999999999955,0.0,0.0,0.0,0.0,-0.0,0.0,50
214.2,159.75000000000023,0.0,0.0,0.0,0.0,-0.0,0.0,50
222.1875,155.24999999999977,0.0,0.0,0.0,0.0,-0.0,0.0,50
229.95,150.75000000000045,0.0,0.0,0.0,0.0,-0.0,0.0,50
237.4875,146.25,0.0,0.0,0.0,0.0,-0.0,0.0,50
244.8,141.74999999999955,0.0,0.0,0.0,0.0,-0.0,0.0,50
251.8875,137.25000000000023,0.0,0.0,0.0,0.0,-0.0,0.0,50
258.75,132.74999999999977,0.0,0.0,0.0,0.0,-0.0,0.0,50
265.3875,128.25000000000045,0.0,0.0,0.0,0.0,-0.0,0.0,50
271.8,123.75,0.0,0.0,0.0,0.0,-0.0,0.0,50
277.9875,119.24999999999955,0.0,0.0,0.0,0.0,-0.0,0.0,50
283.95,114.75000000000023,0.0,0.0,0.0,0.0,-0.0,0.0,50
289.6875,110.24999999999977,0.0,0.0,0.0,0.0,-0.0,0.0,50
295.2,105.75000000000045,0.0,0.0,0.0,0.0,-0.0,0.0,50
300.4875,101.25,0.0,0.0,0.0,0.0,-0.0,0.0,50
305.55,96.74999999999955,0.0,0.0,0.0,0.0,-0.0,0.0,50
310.3875,92.25000000000023,0.0,0.0,0.0,0.0,-0.0,0.0,50
315.0,87.74999999999977,0.0,0.0,0.0,0.0,-0.0,0.0,50
319.3875,83.25000000000045,0.0,0.0,0.0,0.0,-0.0,0.0,50
323.55,78.75,0.0,0.0,0.0,0.0,-0.0,0.0,50
327.4875,74.24999999999955,0.0,0.0,0.0,0.0,-0.0,0.0,50
331.2,69.75000000000023,0.0,0.0,0.0,0.0,-0.0,0.0,50
334.6875,65.24999999999977,0.0,0.0,0.0,0.0,-0.0,0.0,50
337.95,60.750000000000455,0.0,0.0,0.0,0.0,-0.0,0.0,50
340.9875,56.25,0.0,0.0,0.0,0.0,-0.0,0.0,50
343.8,51.75000000000068,0.0,0.0,0.0,0.0,-0.0,0.0,50
346.38750000000005,47.25000000000023,0.0,0.0,0.0,0.0,-0.0,0.0,50
348.75000000000006,42.74999999999977,0.0,0.0,0.0,0.0,-0.0,0.0,50
350.88750000000005,38.250000000000455,0.0,0.0,0.0,0.0,-0.0,0.0,50
352.80000000000007,33.75,0.0,0.0,0.0,0.0,-0.0,0.0,50
354.48750000000007,29.249999999999545,0.0,0.0,0.0,0.0,-0.0,0.0,50
355.95000000000005,24.750000000000227,0.0,0.0,0.0,0.0,-0.0,0.0,50
357.18750000000006,20.249999999999773,0.0,0.0,0.0,0.0,-0.0,0.0,50
358.20000000000005,15.749999999998181,0.0,0.0,0.0,0.0,-0.0,0.0,50
358.98749999999995,11.25,0.0,0.0,0.0,0.0,-0.0,0.0,50
359.54999999999995,6.750000000000682,0.0,0.0,0.0,0.0,-0.0,0.0,50
359.8875,2.2500000000002274,0.0,0.0,0.0,0.0,-0.0,0.0,50
