time_ms,X,Y,Z
0,166.823,-168.25,3251.0
50,166.823,-168.25,3255.999999999
100,166.823,-168.25,3260.999999999
150,166.823,-168.25,3266.0
200,166.823,-168.25,3270.999999999
250,166.823,-168.25,3275.999999999
300,166.823,-168.25,3281.0
350,166.823,-168.25,3285.999999999
400,166.823,-168.25,3290.999999999
450,166.823,-168.25,3295.999999999
500,166.823,-168.25,3300.999999999
550,166.823,-168.25,3306.0
600,166.823,-168.25,3311.0
650,166.823,-168.25,3315.999999999
700,166.823,-168.25,3320.999999999
750,166.823,-168.25,3325.999999999
800,166.823,-168.25,3330.999999999
850,166.823,-168.25,3336.0
900,166.823,-168.25,3340.999999999
950,166.823,-168.25,3345.999999999
1000,166.823,-168.25,3350.999999999
1050,166.823,-168.25,3355.999999999
1100,166.823,-168.25,3361.0
1150,166.823,-168.25,3366.0
1200,166.823,-168.25,3371.0
1250,166.823,-168.25,3375.999999999
1300,166.823,-168.25,3380.999999999
1350,166.823,-168.25,3385.999999999
1400,166.823,-168.25,3390.999999999
1450,166.823,-168.25,3396.0
1500,166.823,-168.25,3400.999999999
1550,166.823,-168.25,3405.999999999
1600,166.823,-168.25,3410.999999999
1650,166.823,-168.25,3415.999999999
1700,166.823,-168.25,3421.0
1750,166.823,-168.25,3425.999999999
1800,166.823,-168.25,3430.999999999
1850,166.823,-168.25,3435.999999999
1900,166.823,-168.25,3440.999999999
1950,166.823,-168.25,3446.0
2000,166.823,-168.25,3450.999999999
2050,166.823,-168.25,3456.0
2100,166.823,-168.25,3460.999999999
2150,166.823,-168.25,3465.999999999
2200,166.823,-168.25,3471.0
2250,166.823,-168.25,3475.999999999
2300,166.823,-168.25,3481.0
2350,166.823,-168.25,3485.999999999
2400,166.823,-168.25,3491.0
2450,166.823,-168.25,3496.0
2500,166.823,-168.25,3500.999999999
2550,166.823,-168.25,3496.0
2600,166.823,-168.25,3491.000000001
2650,166.823,-168.25,3486.0
2700,166.823,-168.25,3481.000000001
2750,166.823,-168.25,3476.000000001
2800,166.823,-168.25,3471.000000001
2850,166.823,-168.25,3466.000000001
2900,166.823,-168.25,3461.0
2950,166.823,-168.25,3456.000000001
3000,166.823,-168.25,3451.000000001
3050,166.823,-168.25,3446.000000001
3100,166.823,-168.25,3441.000000001
3150,166.823,-168.25,3436.0
3200,166.823,-168.25,3431.000000001
3250,166.823,-168.25,3426.000000001
3300,166.823,-168.25,3421.000000001
3350,166.823,-168.25,3416.000000001
3400,166.823,-168.25,3411.0
3450,166.823,-168.25,3406.000000001
3500,166.823,-168.25,3401.000000001
3550,166.823,-168.25,3396.000000001
3600,166.823,-168.25,3391.000000001
3650,166.823,-168.25,3386.0
3700,166.823,-168.25,3381.000000001
3750,166.823,-168.25,3376.000000001
3800,166.823,-168.25,3371.000000001
3850,166.823,-168.25,3366.000000001
3900,166.823,-168.25,3361.0
3950,166.823,-168.25,3356.000000001
4000,166.823,-168.25,3351.000000001
4050,166.823,-168.25,3346.000000001
4100,166.823,-168.25,3341.0
4150,166.823,-168.25,3336.0
4200,166.823,-168.25,3331.000000001
4250,166.823,-168.25,3326.000000001
4300,166.823,-168.25,3321.000000001
4350,166.823,-168.25,3316.0
4400,166.823,-168.25,3311.0
4450,166.823,-168.25,3306.000000001
4500,166.823,-168.25,3301.000000001
4550,166.823,-168.25,3296.000000001
4600,166.823,-168.25,3291.0
4650,166.823,-168.25,3286.0
4700,166.823,-168.25,3281.000000001
4750,166.823,-168.25,3276.000000001
4800,166.823,-168.25,3271.0
4850,166.823,-168.25,3266.0
4900,166.823,-168.25,3261.0
4950,166.823,-168.25,3251.2
