X,Y,Z,C,
166.823,-168.25,3301,90,
166.823,-168.25,3301.2,90,
166.823,-168.25,3301.4,90,
166.823,-168.25,3301.6,90,
166.823,-168.25,3301.8,90,
166.823,-168.25,3302,90,
166.823,-168.25,3302.2,90,
166.823,-168.25,3302.4,90,
166.823,-168.25,3302.6,90,
166.823,-168.25,3302.8,90,
166.823,-168.25,3303,90,
166.823,-168.25,3303.2,90,
166.823,-168.25,3303.4,90,
166.823,-168.25,3303.6,90,
166.823,-168.25,3303.8,90,
166.823,-168.25,3304,90,
166.823,-168.25,3304.2,90,
166.823,-168.25,3304.4,90,
166.823,-168.25,3304.6,90,
166.823,-168.25,3304.8,90,
166.823,-168.25,3305,90,
166.823,-168.25,3305.2,90,
166.823,-168.25,3305.4,90,
166.823,-168.25,3305.6,90,
166.823,-168.25,3305.8,90,
166.823,-168.25,3306,90,
166.823,-168.25,3306.2,90,
166.823,-168.25,3306.4,90,
166.823,-168.25,3306.6,90,
166.823,-168.25,3306.8,90,
166.823,-168.25,3307,90,
166.823,-168.25,3307.2,90,
166.823,-168.25,3307.4,90,
166.823,-168.25,3307.6,90,
166.823,-168.25,3307.8,90,
166.823,-168.25,3308,90,
166.823,-168.25,3308.2,90,
166.823,-168.25,3308.4,90,
166.823,-168.25,3308.6,90,
166.823,-168.25,3308.8,90,
166.823,-168.25,3309,90,
166.823,-168.25,3309.2,90,
166.823,-168.25,3309.4,90,
166.823,-168.25,3309.6,90,
166.823,-168.25,3309.8,90,
166.823,-168.25,3310,90,
166.823,-168.25,3310.2,90,
166.823,-168.25,3310.4,90,
166.823,-168.25,3310.6,90,
166.823,-168.25,3310.8,90,
166.823,-168.25,3311,90,
166.823,-168.25,3311.2,90,
166.823,-168.25,3311.4,90,
166.823,-168.25,3311.6,90,
166.823,-168.25,3311.8,90,
166.823,-168.25,3312,90,
166.823,-168.25,3312.2,90,
166.823,-168.25,3312.4,90,
166.823,-168.25,3312.6,90,
166.823,-168.25,3312.8,90,
166.823,-168.25,3313,90,
166.823,-168.25,3313.2,90,
166.823,-168.25,3313.4,90,
166.823,-168.25,3313.6,90,
166.823,-168.25,3313.8,90,
166.823,-168.25,3314,90,
166.823,-168.25,3314.2,90,
166.823,-168.25,3314.4,90,
166.823,-168.25,3314.6,90,
166.823,-168.25,3314.8,90,
166.823,-168.25,3315,90,
166.823,-168.25,3315.2,90,
166.823,-168.25,3315.4,90,
166.823,-168.25,3315.6,90,
166.823,-168.25,3315.8,90,
166.823,-168.25,3316,90,
166.823,-168.25,3316.2,90,
166.823,-168.25,3316.4,90,
166.823,-168.25,3316.6,90,
166.823,-168.25,3316.8,90,
166.823,-168.25,3317,90,
166.823,-168.25,3317.2,90,
166.823,-168.25,3317.4,90,
166.823,-168.25,3317.6,90,
166.823,-168.25,3317.8,90,
166.823,-168.25,3318,90,
166.823,-168.25,3318.2,90,
166.823,-168.25,3318.4,90,
166.823,-168.25,3318.6,90,
166.823,-168.25,3318.8,90,
166.823,-168.25,3319,90,
166.823,-168.25,3319.2,90,
166.823,-168.25,3319.4,90,
166.823,-168.25,3319.6,90,
166.823,-168.25,3319.8,90,
166.823,-168.25,3320,90,
166.823,-168.25,3320.2,90,
166.823,-168.25,3320.4,90,
166.823,-168.25,3320.6,90,
166.823,-168.25,3320.8,90,
166.823,-168.25,3321,90,
166.823,-168.25,3321.2,90,
166.823,-168.25,3321.4,90,
166.823,-168.25,3321.6,90,
166.823,-168.25,3321.8,90,
166.823,-168.25,3322,90,
166.823,-168.25,3322.2,90,
166.823,-168.25,3322.4,90,
166.823,-168.25,3322.6,90,
166.823,-168.25,3322.8,90,
166.823,-168.25,3323,90,
166.823,-168.25,3323.2,90,
166.823,-168.25,3323.4,90,
166.823,-168.25,3323.6,90,
166.823,-168.25,3323.8,90,
166.823,-168.25,3324,90,
166.823,-168.25,3324.2,90,
166.823,-168.25,3324.4,90,
166.823,-168.25,3324.6,90,
166.823,-168.25,3324.8,90,
166.823,-168.25,3325,90,
166.823,-168.25,3325.2,90,
166.823,-168.25,3325.4,90,
166.823,-168.25,3325.6,90,
166.823,-168.25,3325.8,90,
166.823,-168.25,3326,90,
