X,Y,Z,C
107,-125.378,-78,90
107,-125.378,-77.8,90
107,-125.377,-77.6,90
107,-125.376,-77.4,90
107,-125.375,-77.2,90
107,-125.373,-77,90
107,-125.372,-76.8,90
107,-125.369,-76.6,90
107,-125.367,-76.4,90
107,-125.364,-76.2,90
107,-125.361,-76,90
107,-125.357,-75.8,90
107,-125.353,-75.6,90
107,-125.349,-75.4,90
107,-125.345,-75.2,90
107,-125.34,-75,90
107,-125.334,-74.8,90
107,-125.329,-74.6,90
107,-125.323,-74.401,90
107,-125.316,-74.201,90
107,-125.31,-74.001,90
107,-125.303,-73.801,90
107,-125.295,-73.601,90
107,-125.288,-73.401,90
107,-125.28,-73.201,90
107,-125.271,-73.002,90
107,-125.263,-72.802,90
107,-125.254,-72.602,90
107,-125.244,-72.402,90
107,-125.234,-72.202,90
107,-125.224,-72.003,90
107,-125.214,-71.803,90
107,-125.203,-71.603,90
107,-125.192,-71.404,90
107,-125.18,-71.204,90
107,-125.168,-71.004,90
107,-125.156,-70.805,90
107,-125.143,-70.605,90
107,-125.13,-70.405,90
107,-125.117,-70.206,90
107,-125.103,-70.006,90
107,-125.089,-69.807,90
107,-125.075,-69.607,90
107,-125.06,-69.408,90
107,-125.045,-69.208,90
107,-125.03,-69.009,90
107,-125.014,-68.81,90
107,-124.998,-68.61,90
107,-124.981,-68.411,90
107,-124.964,-68.212,90
107,-124.947,-68.012,90
107,-124.929,-67.813,90
107,-124.911,-67.614,90
107,-124.893,-67.415,90
107,-124.874,-67.216,90
107,-124.855,-67.017,90
107,-124.836,-66.818,90
107,-124.816,-66.619,90
107,-124.796,-66.42,90
107,-124.775,-66.221,90
107,-124.755,-66.022,90
107,-124.733,-65.823,90
107,-124.712,-65.624,90
107,-124.69,-65.425,90
107,-124.668,-65.227,90
107,-124.645,-65.028,90
107,-124.622,-64.829,90
107,-124.598,-64.631,90
107,-124.575,-64.432,90
107,-124.55,-64.233,90
107,-124.526,-64.035,90
107,-124.501,-63.836,90
107,-124.476,-63.638,90
107,-124.45,-63.44,90
107,-124.424,-63.241,90
107,-124.398,-63.043,90
107,-124.371,-62.845,90
107,-124.344,-62.647,90
107,-124.317,-62.449,90
107,-124.289,-62.251,90
107,-124.261,-62.053,90
107,-124.232,-61.855,90
107,-124.203,-61.657,90
107,-124.174,-61.459,90
107,-124.144,-61.261,90
107,-124.114,-61.063,90
107,-124.084,-60.866,90
107,-124.053,-60.668,90
107,-124.022,-60.471,90
107,-123.991,-60.273,90
107,-123.959,-60.076,90
107,-123.926,-59.878,90
107,-123.894,-59.681,90
107,-123.861,-59.484,90
107,-123.827,-59.286,90
107,-123.794,-59.089,90
107,-123.76,-58.892,90
107,-123.725,-58.695,90
107,-123.69,-58.498,90
107,-123.655,-58.301,90
107,-123.62,-58.105,90
107,-123.584,-57.908,90
107,-123.547,-57.711,90
107,-123.511,-57.515,90
107,-123.474,-57.318,90
107,-123.436,-57.122,90
107,-123.398,-56.925,90
107,-123.36,-56.729,90
107,-123.322,-56.533,90
107,-123.283,-56.336,90
107,-123.244,-56.14,90
107,-123.204,-55.944,90
107,-123.164,-55.748,90
107,-123.123,-55.552,90
107,-123.083,-55.357,90
107,-123.042,-55.161,90
107,-123,-54.965,90
107,-122.958,-54.77,90
107,-122.916,-54.574,90
107,-122.873,-54.379,90
107,-122.83,-54.183,90
107,-122.787,-53.988,90
107,-122.743,-53.793,90
107,-122.699,-53.598,90
107,-122.655,-53.403,90
107,-122.61,-53.208,90
107,-122.565,-53.013,90
107,-122.519,-52.818,90
107,-122.473,-52.624,90
107,-122.427,-52.429,90
107,-122.38,-52.235,90
107,-122.333,-52.04,90
107,-122.286,-51.846,90
107,-122.238,-51.652,90
107,-122.19,-51.458,90
107,-122.141,-51.264,90
107,-122.092,-51.07,90
107,-122.043,-50.876,90
107,-121.994,-50.682,90
107,-121.944,-50.489,90
107,-121.893,-50.295,90
107,-121.843,-50.102,90
107,-121.791,-49.908,90
107,-121.74,-49.715,90
107,-121.688,-49.522,90
107,-121.636,-49.329,90
107,-121.583,-49.136,90
107,-121.531,-48.943,90
107,-121.477,-48.75,90
107,-121.424,-48.557,90
107,-121.37,-48.365,90
107,-121.315,-48.172,90
107,-121.261,-47.98,90
107,-121.205,-47.788,90
107,-121.15,-47.596,90
107,-121.094,-47.403,90
107,-121.038,-47.212,90
107,-120.981,-47.02,90
107,-120.925,-46.828,90
107,-120.867,-46.636,90
107,-120.81,-46.445,90
107,-120.752,-46.253,90
107,-120.693,-46.062,90
107,-120.635,-45.871,90
107,-120.576,-45.68,90
107,-120.516,-45.489,90
107,-120.456,-45.298,90
107,-120.396,-45.107,90
107,-120.336,-44.917,90
107,-120.275,-44.726,90
107,-120.214,-44.536,90
107,-120.152,-44.345,90
107,-120.09,-44.155,90
107,-120.028,-43.965,90
107,-119.965,-43.775,90
107,-119.902,-43.585,90
107,-119.839,-43.396,90
107,-119.775,-43.206,90
107,-119.711,-43.017,90
107,-119.647,-42.827,90
107,-119.582,-42.638,90
107,-119.517,-42.449,90
107,-119.452,-42.26,90
107,-119.386,-42.071,90
107,-119.32,-41.882,90
107,-119.253,-41.694,90
107,-119.186,-41.505,90
107,-119.119,-41.317,90
107,-119.052,-41.129,90
107,-118.984,-40.94,90
107,-118.915,-40.752,90
107,-118.847,-40.565,90
107,-118.778,-40.377,90
107,-118.709,-40.189,90
107,-118.639,-40.002,90
107,-118.569,-39.814,90
107,-118.499,-39.627,90
107,-118.428,-39.44,90
107,-118.357,-39.253,90
107,-118.286,-39.066,90
107,-118.214,-38.879,90
107,-118.142,-38.693,90
107,-118.07,-38.506,90
107,-117.997,-38.32,90
107,-117.924,-38.134,90
107,-117.851,-37.948,90
107,-117.777,-37.762,90
107,-117.703,-37.576,90
107,-117.629,-37.39,90
107,-117.554,-37.205,90
107,-117.479,-37.019,90
107,-117.404,-36.834,90
107,-117.328,-36.649,90
107,-117.252,-36.464,90
107,-117.176,-36.279,90
107,-117.099,-36.094,90
107,-117.022,-35.91,90
107,-116.945,-35.725,90
107,-116.867,-35.541,90
107,-116.789,-35.357,90
107,-116.711,-35.173,90
107,-116.633,-34.989,90
107,-116.554,-34.805,90
107,-116.474,-34.622,90
107,-116.395,-34.438,90
107,-116.315,-34.255,90
107,-116.235,-34.072,90
107,-116.154,-33.888,90
107,-116.073,-33.706,90
107,-115.992,-33.523,90
107,-115.911,-33.34,90
107,-115.829,-33.158,90
107,-115.747,-32.975,90
107,-115.664,-32.793,90
107,-115.581,-32.611,90
107,-115.498,-32.429,90
107,-115.415,-32.247,90
107,-115.331,-32.066,90
107,-115.247,-31.884,90
107,-115.163,-31.703,90
107,-115.078,-31.522,90
107,-114.993,-31.34,90
107,-114.908,-31.16,90
107,-114.823,-30.979,90
107,-114.737,-30.798,90
107,-114.65,-30.618,90
107,-114.564,-30.437,90
107,-114.477,-30.257,90
107,-114.39,-30.077,90
107,-114.303,-29.897,90
107,-114.215,-29.717,90
107,-114.127,-29.538,90
107,-114.039,-29.358,90
107,-113.95,-29.179,90
107,-113.861,-29,90
107,-113.772,-28.821,90
107,-113.683,-28.642,90
107,-113.593,-28.463,90
107,-113.503,-28.285,90
107,-113.413,-28.106,90
107,-113.322,-27.928,90
107,-113.231,-27.75,90
107,-113.14,-27.572,90
107,-113.049,-27.394,90
107,-112.957,-27.216,90
107,-112.865,-27.039,90
107,-112.772,-26.861,90
107,-112.68,-26.684,90
107,-112.587,-26.507,90
107,-112.494,-26.33,90
107,-112.4,-26.153,90
107,-112.306,-25.976,90
107,-112.212,-25.8,90
107,-112.118,-25.624,90
107,-112.023,-25.447,90
107,-111.928,-25.271,90
107,-111.833,-25.095,90
107,-111.738,-24.92,90
107,-111.642,-24.744,90
107,-111.546,-24.569,90
107,-111.45,-24.393,90
107,-111.353,-24.218,90
107,-111.257,-24.043,90
107,-111.16,-23.868,90
107,-111.062,-23.693,90
107,-110.965,-23.519,90
107,-110.867,-23.345,90
107,-110.769,-23.17,90
107,-110.67,-22.996,90
107,-110.572,-22.822,90
107,-110.473,-22.648,90
107,-110.373,-22.475,90
107,-110.274,-22.301,90
107,-110.174,-22.128,90
107,-110.074,-21.955,90
107,-109.974,-21.781,90
107,-109.874,-21.609,90
107,-109.773,-21.436,90
107,-109.672,-21.263,90
107,-109.571,-21.091,90
107,-109.469,-20.918,90
107,-109.367,-20.746,90
107,-109.265,-20.574,90
107,-109.163,-20.402,90
107,-109.061,-20.23,90
107,-108.958,-20.059,90
107,-108.855,-19.887,90
107,-108.752,-19.716,90
107,-108.648,-19.545,90
107,-108.544,-19.374,90
107,-108.44,-19.203,90
107,-108.336,-19.032,90
107,-108.232,-18.862,90
107,-108.127,-18.692,90
107,-108.022,-18.521,90
107,-107.917,-18.351,90
107,-107.812,-18.181,90
107,-107.706,-18.011,90
107,-107.6,-17.842,90
107,-107.494,-17.672,90
107,-107.388,-17.503,90
107,-107.281,-17.334,90
107,-107.174,-17.164,90
107,-107.067,-16.996,90
107,-106.96,-16.827,90
107,-106.852,-16.658,90
107,-106.745,-16.49,90
107,-106.637,-16.321,90
107,-106.528,-16.153,90
107,-106.42,-15.985,90
107,-106.311,-15.817,90
107,-106.203,-15.649,90
107,-106.094,-15.482,90
107,-105.984,-15.314,90
107,-105.875,-15.147,90
107,-105.765,-14.979,90
107,-105.655,-14.812,90
107,-105.545,-14.645,90
107,-105.435,-14.479,90
107,-105.324,-14.312,90
107,-105.213,-14.146,90
107,-105.102,-13.979,90
107,-104.991,-13.813,90
107,-104.879,-13.647,90
107,-104.768,-13.481,90
107,-104.656,-13.315,90
107,-104.544,-13.149,90
107,-104.432,-12.984,90
107,-104.319,-12.819,90
107,-104.207,-12.653,90
107,-104.094,-12.488,90
107,-103.981,-12.323,90
107,-103.867,-12.158,90
107,-103.754,-11.994,90
107,-103.64,-11.829,90
107,-103.526,-11.665,90
107,-103.412,-11.5,90
107,-103.298,-11.336,90
107,-103.183,-11.172,90
107,-103.069,-11.008,90
107,-102.954,-10.845,90
107,-102.839,-10.681,90
107,-102.724,-10.518,90
107,-102.608,-10.354,90
107,-102.493,-10.191,90
107,-102.377,-10.028,90
107,-102.261,-9.865,90
107,-102.145,-9.702,90
107,-102.028,-9.54,90
107,-101.912,-9.377,90
107,-101.795,-9.215,90
107,-101.678,-9.052,90
107,-101.561,-8.89,90
107,-101.444,-8.728,90
107,-101.326,-8.566,90
107,-101.209,-8.405,90
