X,Y,Z,C
166.823,-168.25,3251,0
166.823,-168.25,3251.2,0
166.823,-168.25,3251.4,0
166.823,-168.25,3251.6,0
166.823,-168.25,3251.8,0
166.823,-168.25,3252,0
166.823,-168.25,3252.2,0
166.823,-168.25,3252.4,0
166.823,-168.25,3252.6,0
166.823,-168.25,3252.8,0
166.823,-168.25,3253,0
166.823,-168.25,3253.2,0
166.823,-168.25,3253.4,0
166.823,-168.25,3253.6,0
166.823,-168.25,3253.8,0
166.823,-168.25,3254,0
166.823,-168.25,3254.2,0
166.823,-168.25,3254.4,0
166.823,-168.25,3254.6,0
166.823,-168.25,3254.8,0
166.823,-168.25,3255,0
166.823,-168.25,3255.2,0
166.823,-168.25,3255.4,0
166.823,-168.25,3255.6,0
166.823,-168.25,3255.8,0
166.823,-168.25,3256,0
166.823,-168.25,3256.2,0
166.823,-168.25,3256.4,0
166.823,-168.25,3256.6,0
166.823,-168.25,3256.8,0
166.823,-168.25,3257,0
166.823,-168.25,3257.2,0
166.823,-168.25,3257.4,0
166.823,-168.25,3257.6,0
166.823,-168.25,3257.8,0
166.823,-168.25,3258,0
166.823,-168.25,3258.2,0
166.823,-168.25,3258.4,0
166.823,-168.25,3258.6,0
166.823,-168.25,3258.8,0
166.823,-168.25,3259,0
166.823,-168.25,3259.2,0
166.823,-168.25,3259.4,0
166.823,-168.25,3259.6,0
166.823,-168.25,3259.8,0
166.823,-168.25,3260,0
166.823,-168.25,3260.2,0
166.823,-168.25,3260.4,0
166.823,-168.25,3260.6,0
166.823,-168.25,3260.8,0
166.823,-168.25,3261,0
166.823,-168.25,3261.2,0
166.823,-168.25,3261.4,0
166.823,-168.25,3261.6,0
166.823,-168.25,3261.8,0
166.823,-168.25,3262,0
166.823,-168.25,3262.2,0
166.823,-168.25,3262.4,0
166.823,-168.25,3262.6,0
166.823,-168.25,3262.8,0
166.823,-168.25,3263,0
166.823,-168.25,3263.2,0
166.823,-168.25,3263.4,0
166.823,-168.25,3263.6,0
166.823,-168.25,3263.8,0
166.823,-168.25,3264,0
166.823,-168.25,3264.2,0
166.823,-168.25,3264.4,0
166.823,-168.25,3264.6,0
166.823,-168.25,3264.8,0
166.823,-168.25,3265,0
166.823,-168.25,3265.2,0
166.823,-168.25,3265.4,0
166.823,-168.25,3265.6,0
166.823,-168.25,3265.8,0
166.823,-168.25,3266,0
166.823,-168.25,3266.2,0
166.823,-168.25,3266.4,0
166.823,-168.25,3266.6,0
166.823,-168.25,3266.8,0
166.823,-168.25,3267,0
166.823,-168.25,3267.2,0
166.823,-168.25,3267.4,0
166.823,-168.25,3267.6,0
166.823,-168.25,3267.8,0
166.823,-168.25,3268,0
166.823,-168.25,3268.2,0
166.823,-168.25,3268.4,0
166.823,-168.25,3268.6,0
166.823,-168.25,3268.8,0
166.823,-168.25,3269,0
166.823,-168.25,3269.2,0
166.823,-168.25,3269.4,0
166.823,-168.25,3269.6,0
166.823,-168.25,3269.8,0
166.823,-168.25,3270,0
166.823,-168.25,3270.2,0
166.823,-168.25,3270.4,0
166.823,-168.25,3270.6,0
166.823,-168.25,3270.8,0
166.823,-168.25,3271,0
166.823,-168.25,3271.2,0
166.823,-168.25,3271.4,0
