X,Y,Z,C
107,147.622,31,90
107,147.623,30.8,90
107,147.625,30.6,90
107,147.628,30.4,90
107,147.633,30.2,90
107,147.639,30,90
107,147.646,29.8,90
107,147.655,29.601,90
107,147.665,29.401,90
107,147.676,29.201,90
107,147.689,29.001,90
107,147.703,28.802,90
107,147.718,28.603,90
107,147.735,28.403,90
107,147.753,28.204,90
107,147.772,28.005,90
107,147.793,27.806,90
107,147.815,27.607,90
107,147.838,27.409,90
107,147.863,27.21,90
107,147.889,27.012,90
107,147.916,26.814,90
107,147.944,26.616,90
107,147.974,26.418,90
107,148.005,26.22,90
107,148.038,26.023,90
107,148.072,25.826,90
107,148.107,25.629,90
107,148.143,25.432,90
107,148.181,25.236,90
107,148.22,25.04,90
107,148.261,24.844,90
107,148.302,24.648,90
107,148.345,24.453,90
107,148.39,24.258,90
107,148.435,24.063,90
107,148.482,23.869,90
107,148.53,23.675,90
107,148.58,23.481,90
107,148.631,23.288,90
107,148.683,23.094,90
107,148.736,22.902,90
107,148.791,22.709,90
107,148.847,22.517,90
107,148.904,22.326,90
107,148.962,22.134,90
107,149.022,21.944,90
107,149.083,21.753,90
107,149.145,21.563,90
107,149.209,21.373,90
107,149.274,21.184,90
107,149.34,20.995,90
107,149.407,20.807,90
107,149.476,20.619,90
107,149.545,20.432,90
107,149.616,20.245,90
107,149.689,20.058,90
107,149.762,19.872,90
107,149.837,19.687,90
107,149.913,19.502,90
107,149.99,19.317,90
107,150.069,19.133,90
107,150.149,18.95,90
107,150.23,18.767,90
107,150.312,18.585,90
107,150.395,18.403,90
107,150.48,18.222,90
107,150.566,18.041,90
107,150.653,17.861,90
107,150.741,17.682,90
107,150.83,17.503,90
107,150.921,17.324,90
107,151.012,17.147,90
107,151.105,16.97,90
107,151.2,16.793,90
107,151.295,16.617,90
107,151.391,16.442,90
107,151.489,16.267,90
107,151.588,16.094,90
107,151.688,15.92,90
107,151.789,15.748,90
107,151.891,15.576,90
107,151.994,15.405,90
107,152.099,15.234,90
107,152.205,15.064,90
107,152.311,14.895,90
107,152.419,14.727,90
107,152.528,14.559,90
107,152.639,14.392,90
107,152.75,14.226,90
107,152.862,14.061,90
107,152.976,13.896,90
107,153.09,13.732,90
107,153.206,13.569,90
107,153.323,13.407,90
107,153.441,13.245,90
107,153.559,13.084,90
107,153.679,12.924,90
107,153.8,12.765,90
107,153.923,12.606,90
107,154.046,12.449,90
107,154.17,12.292,90
107,154.295,12.136,90
107,154.421,11.981,90
107,154.549,11.827,90
107,154.677,11.673,90
107,154.806,11.521,90
107,154.937,11.369,90
107,155.068,11.218,90
107,155.201,11.069,90
107,155.334,10.92,90
107,155.468,10.771,90
107,155.604,10.624,90
107,155.74,10.478,90
107,155.877,10.332,90
107,156.015,10.188,90
107,156.155,10.044,90
107,156.295,9.902,90
107,156.436,9.76,90
107,156.578,9.619,90
107,156.721,9.479,90
107,156.865,9.34,90
107,157.01,9.203,90
107,157.156,9.066,90
107,157.302,8.93,90
107,157.45,8.795,90
107,157.598,8.661,90
107,157.748,8.528,90
107,157.898,8.396,90
107,158.049,8.265,90
107,158.201,8.135,90
107,158.354,8.006,90
107,158.508,7.878,90
107,158.662,7.751,90
107,158.818,7.625,90
107,158.974,7.5,90
107,159.131,7.376,90
107,159.289,7.254,90
107,159.448,7.132,90
107,159.607,7.011,90
107,159.768,6.892,90
107,159.929,6.773,90
107,160.091,6.656,90
107,160.253,6.54,90
107,160.417,6.424,90
107,160.581,6.31,90
107,160.746,6.197,90
107,160.912,6.085,90
107,161.078,5.974,90
107,161.245,5.864,90
107,161.413,5.756,90
107,161.582,5.648,90
107,161.751,5.542,90
107,161.921,5.437,90
107,162.092,5.333,90
107,162.264,5.23,90
107,162.436,5.128,90
107,162.609,5.027,90
107,162.782,4.928,90
107,162.956,4.829,90
107,163.131,4.732,90
107,163.306,4.636,90
107,163.482,4.541,90
107,163.659,4.448,90
107,163.836,4.355,90
107,164.014,4.264,90
107,164.193,4.174,90
107,164.372,4.085,90
107,164.552,3.997,90
107,164.732,3.91,90
107,164.913,3.825,90
107,165.094,3.741,90
107,165.276,3.658,90
107,165.459,3.576,90
107,165.642,3.496,90
107,165.826,3.417,90
107,166.01,3.339,90
107,166.195,3.262,90
107,166.38,3.186,90
107,166.565,3.112,90
107,166.752,3.039,90
107,166.938,2.967,90
107,167.125,2.896,90
107,167.313,2.827,90
107,167.501,2.759,90
107,167.689,2.692,90
107,167.878,2.626,90
107,168.068,2.562,90
107,168.258,2.499,90
107,168.448,2.437,90
107,168.638,2.377,90
107,168.829,2.318,90
107,169.021,2.26,90
107,169.213,2.203,90
107,169.405,2.147,90
107,169.597,2.093,90
107,169.79,2.04,90
107,169.983,1.989,90
107,170.177,1.939,90
107,170.371,1.89,90
107,170.565,1.842,90
107,170.76,1.795,90
107,170.955,1.75,90
107,171.15,1.707,90
107,171.345,1.664,90
107,171.541,1.623,90
107,171.737,1.583,90
107,171.933,1.544,90
107,172.13,1.507,90
107,172.326,1.471,90
107,172.523,1.437,90
107,172.72,1.403,90
107,172.918,1.371,90
107,173.116,1.34,90
107,173.313,1.311,90
107,173.511,1.283,90
107,173.71,1.256,90
107,173.908,1.231,90
107,174.107,1.207,90
107,174.305,1.184,90
107,174.504,1.162,90
107,174.703,1.142,90
107,174.902,1.124,90
107,175.101,1.106,90
107,175.301,1.09,90
107,175.5,1.075,90
107,175.7,1.062,90
107,175.899,1.05,90
107,176.099,1.039,90
107,176.299,1.029,90
107,176.499,1.021,90
107,176.699,1.014,90
107,176.898,1.009,90
107,177.098,1.005,90
107,177.298,1.002,90
107,177.498,1,90
107,177.698,1,90
107,177.898,1,90
107,178.098,1,90
107,178.298,1,90
107,178.498,1,90
107,178.698,1,90
107,178.898,1,90
107,179.098,1,90
107,179.298,1,90
107,179.498,1,90
107,179.698,1,90
107,179.898,1,90
107,180.098,1,90
107,180.298,1,90
107,180.498,1,90
107,180.698,1,90
107,180.898,1,90
107,181.098,1,90
107,181.298,1,90
107,181.498,1,90
107,181.698,1,90
107,181.898,1,90
107,182.098,1,90
107,182.298,1,90
107,182.498,1,90
107,182.698,1,90
107,182.898,1,90
107,183.098,1,90
107,183.298,1,90
107,183.498,1,90
107,183.698,1,90
107,183.898,1,90
107,184.098,1,90
107,184.298,1,90
107,184.498,1,90
107,184.698,1,90
107,184.898,1,90
107,185.098,1,90
107,185.298,1,90
107,185.498,1,90
107,185.698,1,90
107,185.898,1,90
107,186.098,1,90
107,186.298,1,90
107,186.498,1,90
107,186.698,1,90
107,186.898,1,90
107,187.098,1,90
107,187.298,1,90
107,187.498,1,90
107,187.698,1,90
107,187.898,1,90
107,188.098,1,90
107,188.298,1,90
107,188.498,1,90
107,188.698,1,90
107,188.898,1,90
107,189.098,1,90
107,189.298,1,90
107,189.498,1,90
107,189.698,1,90
107,189.898,1,90
107,190.098,1,90
107,190.298,1,90
107,190.498,1,90
107,190.698,1,90
107,190.898,1,90
107,191.098,1,90
107,191.298,1,90
107,191.498,1,90
107,191.698,1,90
107,191.898,1,90
107,192.098,1,90
107,192.298,1,90
107,192.498,1,90
107,192.698,1,90
107,192.898,1,90
107,193.098,1,90
107,193.298,1,90
107,193.498,1,90
107,193.698,1,90
107,193.898,1,90
107,194.098,1,90
107,194.298,1,90
107,194.498,1,90
107,194.698,1,90
107,194.898,1,90
107,195.098,1,90
107,195.298,1,90
107,195.498,1,90
107,195.698,1,90
107,195.898,1,90
107,196.098,1,90
107,196.298,1,90
107,196.498,1,90
107,196.698,1,90
107,196.898,1,90
107,197.098,1,90
107,197.298,1,90
107,197.498,1,90
107,197.698,1,90
107,197.898,1,90
107,198.098,1,90
107,198.298,1,90
107,198.498,1,90
107,198.698,1,90
107,198.898,1,90
107,199.098,1,90
107,199.298,1,90
107,199.498,1,90
107,199.698,1,90
107,199.898,1,90
107,200.098,1,90
107,200.298,1,90
107,200.498,1,90
107,200.698,1,90
107,200.898,1,90
107,201.098,1,90
107,201.298,1,90
107,201.498,1,90
107,201.698,1,90
107,201.898,1,90
107,202.098,1,90
107,202.298,1,90
107,202.498,1,90
107,202.698,1,90
107,202.898,1,90
107,203.098,1,90
107,203.298,1,90
107,203.498,1,90
107,203.698,1,90
107,203.898,1,90
107,204.098,1,90
107,204.298,1,90
107,204.498,1,90
107,204.698,1,90
107,204.898,1,90
107,205.098,1,90
107,205.298,1,90
107,205.498,1,90
107,205.698,1,90
107,205.898,1,90
107,206.098,1,90
107,206.298,1,90
107,206.498,1,90
107,206.698,1,90
107,206.898,1,90
107,207.098,1,90
107,207.298,1,90
107,207.498,1,90
107,207.698,1,90
107,207.898,1,90
107,208.098,1,90
107,208.298,1,90
107,208.498,1,90
107,208.698,1,90
107,208.898,1,90
107,209.098,1,90
107,209.298,1,90
107,209.498,1,90
107,209.698,1,90
107,209.898,1,90
107,210.098,1,90
107,210.298,1,90
107,210.498,1,90
107,210.698,1,90
107,210.898,1,90
107,211.098,1,90
107,211.298,1,90
107,211.498,1,90
107,211.698,1,90
107,211.898,1,90
107,212.098,1,90
107,212.298,1,90
107,212.498,1,90
107,212.698,1,90
107,212.898,1,90
107,213.098,1,90
107,213.298,1,90
107,213.498,1,90
107,213.698,1,90
107,213.898,1,90
107,214.098,1,90
107,214.298,1,90
107,214.498,1,90
107,214.698,1,90
107,214.898,1,90
107,215.098,1,90
107,215.298,1,90
107,215.498,1,90
107,215.698,1,90
107,215.898,1,90
107,216.098,1,90
107,216.298,1,90
107,216.498,1,90
107,216.698,1,90
107,216.898,1,90
107,217.098,1,90
107,217.298,1,90
107,217.498,1,90
107,217.698,1,90
107,217.898,1,90
107,218.098,1,90
107,218.298,1,90
107,218.498,1,90
107,218.698,1,90
107,218.898,1,90
107,219.098,1,90
107,219.298,1,90
107,219.498,1,90
107,219.698,1,90
107,219.898,1,90
107,220.098,1,90
107,220.298,1,90
107,220.498,1,90
107,220.698,1,90
107,220.898,1,90
107,221.098,1.002,90
107,221.297,1.022,90
107,221.493,1.062,90
107,221.684,1.121,90
107,221.868,1.198,90
107,222.044,1.294,90
107,222.209,1.407,90
107,222.362,1.536,90
107,222.502,1.679,90
107,222.626,1.835,90
107,222.734,2.003,90
107,222.825,2.182,90
107,222.897,2.368,90
107,222.951,2.56,90
107,222.985,2.757,90
107,223,2.957,90
107,223,3.157,90
107,223,3.357,90
107,223,3.557,90
107,223,3.757,90
107,223,3.957,90
107,223,4.157,90
107,223,4.357,90
107,223,4.557,90
107,223,4.757,90
107,223,4.957,90
107,223,5.157,90
107,223,5.357,90
107,223,5.557,90
107,223,5.757,90
107,223,5.957,90
107,223,6.157,90
107,223,6.357,90
107,223,6.557,90
107,223,6.757,90
107,223,6.957,90
107,223,7.157,90
107,223,7.357,90
107,223,7.557,90
107,223,7.757,90
107,223,7.957,90
107,223,8.157,90
107,223,8.357,90
107,223,8.557,90
107,223,8.757,90
107,223,8.957,90
107,223,9.157,90
107,223,9.357,90
107,223,9.557,90
107,223,9.757,90
107,223,9.957,90
107,223,10.157,90
107,223,10.357,90
107,223,10.557,90
107,223,10.757,90
107,223,10.957,90
107,223,11.157,90
107,223,11.357,90
107,223,11.557,90
107,223,11.757,90
107,223,11.957,90
107,223,12.157,90
107,223,12.357,90
107,223,12.557,90
107,223,12.757,90
107,223,12.957,90
107,223,13.157,90
107,223,13.357,90
107,223,13.557,90
107,223,13.757,90
107,223,13.957,90
107,223,14.157,90
107,223,14.357,90
107,223,14.557,90
107,223,14.757,90
107,223,14.957,90
107,223,15.157,90
107,223,15.357,90
107,223,15.557,90
107,223,15.757,90
107,223,15.957,90
107,223,16.157,90
107,223,16.357,90
107,223,16.557,90
107,223,16.757,90
107,223,16.957,90
107,223,17.157,90
107,223,17.357,90
107,223,17.557,90
107,223,17.757,90
107,223,17.957,90
107,223,18.157,90
107,223,18.357,90
107,223,18.557,90
107,223,18.757,90
107,223,18.957,90
107,223,19.157,90
107,223,19.357,90
107,223,19.557,90
107,223,19.757,90
107,223,19.957,90
107,223,20.157,90
107,223,20.357,90
107,223,20.557,90
107,223,20.757,90
107,223,20.957,90
107,222.994,21.157,90
107,222.968,21.355,90
107,222.923,21.55,90
107,222.859,21.739,90
107,222.775,21.921,90
107,222.675,22.093,90
107,222.557,22.255,90
107,222.424,22.404,90
107,222.277,22.539,90
107,222.117,22.659,90
107,221.945,22.762,90
107,221.765,22.848,90
107,221.576,22.915,90
107,221.382,22.963,90
107,221.185,22.991,90
107,220.985,23,90
107,220.785,23,90
107,220.585,23,90
107,220.385,23,90
107,220.185,23,90
107,219.985,23,90
107,219.785,23,90
107,219.585,23,90
107,219.385,23,90
107,219.185,23,90
107,218.985,23,90
107,218.785,23,90
107,218.585,23.001,90
107,218.385,23.001,90
107,218.185,23.002,90
107,217.985,23.003,90
107,217.785,23.004,90
107,217.585,23.005,90
107,217.385,23.006,90
107,217.185,23.008,90
107,216.985,23.01,90
107,216.785,23.012,90
107,216.585,23.015,90
107,216.385,23.018,90
107,216.185,23.021,90
107,215.985,23.025,90
107,215.785,23.03,90
107,215.585,23.035,90
107,215.385,23.04,90
107,215.185,23.046,90
107,214.985,23.053,90
107,214.785,23.06,90
107,214.586,23.069,90
107,214.386,23.078,90
107,214.186,23.087,90
107,213.986,23.098,90
107,213.787,23.11,90
107,213.587,23.122,90
107,213.388,23.136,90
107,213.188,23.15,90
107,212.989,23.166,90
107,212.789,23.182,90
107,212.59,23.2,90
107,212.391,23.218,90
107,212.192,23.238,90
107,211.993,23.259,90
107,211.794,23.281,90
107,211.596,23.304,90
107,211.397,23.328,90
107,211.199,23.353,90
107,211,23.38,90
107,210.802,23.407,90
107,210.604,23.435,90
107,210.407,23.465,90
107,210.209,23.495,90
107,210.011,23.527,90
107,209.814,23.559,90
107,209.617,23.592,90
107,209.42,23.626,90
107,209.223,23.661,90
107,209.026,23.697,90
107,208.829,23.734,90
107,208.633,23.771,90
107,208.437,23.809,90
107,208.24,23.848,90
107,208.044,23.887,90
107,207.848,23.927,90
107,207.652,23.968,90
107,207.457,24.009,90
107,207.261,24.051,90
107,207.066,24.093,90
107,206.87,24.136,90
107,206.675,24.179,90
107,206.48,24.223,90
107,206.285,24.267,90
107,206.09,24.311,90
107,205.895,24.356,90
107,205.7,24.401,90
107,205.505,24.447,90
107,205.311,24.492,90
107,205.116,24.538,90
107,204.921,24.585,90
107,204.727,24.631,90
107,204.532,24.678,90
107,204.338,24.725,90
107,204.144,24.773,90
107,203.949,24.82,90
107,203.755,24.868,90
107,203.561,24.916,90
107,203.367,24.964,90
107,203.173,25.012,90
107,202.979,25.06,90
107,202.785,25.109,90
107,202.591,25.157,90
107,202.397,25.206,90
107,202.203,25.255,90
107,202.009,25.304,90
107,201.815,25.353,90
107,201.621,25.403,90
107,201.427,25.452,90
107,201.234,25.501,90
107,201.04,25.551,90
107,200.846,25.601,90
107,200.652,25.65,90
107,200.459,25.7,90
107,200.265,25.75,90
107,200.071,25.8,90
107,199.878,25.85,90
107,199.684,25.9,90
107,199.49,25.95,90
107,199.297,26,90
107,199.103,26.05,90
107,198.91,26.1,90
107,198.716,26.151,90
107,198.522,26.201,90
107,198.329,26.251,90
107,198.135,26.301,90
107,197.942,26.352,90
107,197.748,26.402,90
107,197.554,26.452,90
107,197.361,26.502,90
107,197.167,26.553,90
107,196.974,26.603,90
107,196.78,26.653,90
107,196.587,26.704,90
107,196.393,26.754,90
107,196.199,26.804,90
107,196.006,26.854,90
107,195.812,26.905,90
107,195.619,26.955,90
107,195.425,27.005,90
107,195.231,27.055,90
107,195.038,27.105,90
107,194.844,27.155,90
107,194.651,27.205,90
107,194.457,27.255,90
107,194.263,27.305,90
107,194.07,27.355,90
107,193.876,27.405,90
107,193.682,27.455,90
107,193.488,27.505,90
107,193.295,27.554,90
107,193.101,27.604,90
107,192.907,27.654,90
107,192.713,27.703,90
107,192.52,27.752,90
107,192.326,27.802,90
107,192.132,27.851,90
107,191.938,27.9,90
107,191.744,27.949,90
107,191.55,27.999,90
107,191.356,28.048,90
107,191.163,28.096,90
107,190.969,28.145,90
107,190.775,28.194,90
107,190.581,28.243,90
107,190.387,28.291,90
107,190.193,28.34,90
107,189.999,28.388,90
107,189.804,28.436,90
107,189.61,28.484,90
