X,Y,Z,C,
166.823,-168.25,3301,0,
166.823,-168.25,3301.2,0,
166.823,-168.25,3301.4,0,
166.823,-168.25,3301.6,0,
166.823,-168.25,3301.8,0,
166.823,-168.25,3302,0,
166.823,-168.25,3302.2,0,
166.823,-168.25,3302.4,0,
166.823,-168.25,3302.6,0,
166.823,-168.25,3302.8,0,
166.823,-168.25,3303,0,
166.823,-168.25,3303.2,0,
166.823,-168.25,3303.4,0,
166.823,-168.25,3303.6,0,
166.823,-168.25,3303.8,0,
166.823,-168.25,3304,0,
166.823,-168.25,3304.2,0,
166.823,-168.25,3304.4,0,
166.823,-168.25,3304.6,0,
166.823,-168.25,3304.8,0,
166.823,-168.25,3305,0,
166.823,-168.25,3305.2,0,
166.823,-168.25,3305.4,0,
166.823,-168.25,3305.6,0,
166.823,-168.25,3305.8,0,
166.823,-168.25,3306,0,
166.823,-168.25,3306.2,0,
166.823,-168.25,3306.4,0,
166.823,-168.25,3306.6,0,
166.823,-168.25,3306.8,0,
166.823,-168.25,3307,0,
166.823,-168.25,3307.2,0,
166.823,-168.25,3307.4,0,
166.823,-168.25,3307.6,0,
166.823,-168.25,3307.8,0,
166.823,-168.25,3308,0,
166.823,-168.25,3308.2,0,
166.823,-168.25,3308.4,0,
166.823,-168.25,3308.6,0,
166.823,-168.25,3308.8,0,
166.823,-168.25,3309,0,
166.823,-168.25,3309.2,0,
166.823,-168.25,3309.4,0,
166.823,-168.25,3309.6,0,
166.823,-168.25,3309.8,0,
166.823,-168.25,3310,0,
166.823,-168.25,3310.2,0,
166.823,-168.25,3310.4,0,
166.823,-168.25,3310.6,0,
166.823,-168.25,3310.8,0,
166.823,-168.25,3311,0,
166.823,-168.25,3311.2,0,
166.823,-168.25,3311.4,0,
166.823,-168.25,3311.6,0,
166.823,-168.25,3311.8,0,
166.823,-168.25,3312,0,
166.823,-168.25,3312.2,0,
166.823,-168.25,3312.4,0,
166.823,-168.25,3312.6,0,
166.823,-168.25,3312.8,0,
166.823,-168.25,3313,0,
166.823,-168.25,3313.2,0,
166.823,-168.25,3313.4,0,
166.823,-168.25,3313.6,0,
166.823,-168.25,3313.8,0,
166.823,-168.25,3314,0,
166.823,-168.25,3314.2,0,
166.823,-168.25,3314.4,0,
166.823,-168.25,3314.6,0,
166.823,-168.25,3314.8,0,
166.823,-168.25,3315,0,
166.823,-168.25,3315.2,0,
166.823,-168.25,3315.4,0,
166.823,-168.25,3315.6,0,
166.823,-168.25,3315.8,0,
166.823,-168.25,3316,0,
166.823,-168.25,3316.2,0,
166.823,-168.25,3316.4,0,
166.823,-168.25,3316.6,0,
166.823,-168.25,3316.8,0,
166.823,-168.25,3317,0,
166.823,-168.25,3317.2,0,
166.823,-168.25,3317.4,0,
166.823,-168.25,3317.6,0,
166.823,-168.25,3317.8,0,
166.823,-168.25,3318,0,
166.823,-168.25,3318.2,0,
166.823,-168.25,3318.4,0,
166.823,-168.25,3318.6,0,
166.823,-168.25,3318.8,0,
166.823,-168.25,3319,0,
166.823,-168.25,3319.2,0,
166.823,-168.25,3319.4,0,
166.823,-168.25,3319.6,0,
166.823,-168.25,3319.8,0,
166.823,-168.25,3320,0,
166.823,-168.25,3320.2,0,
166.823,-168.25,3320.4,0,
166.823,-168.25,3320.6,0,
166.823,-168.25,3320.8,0,
166.823,-168.25,3321,0,
166.823,-168.25,3321.2,0,
166.823,-168.25,3321.4,0,
166.823,-168.25,3321.6,0,
166.823,-168.25,3321.8,0,
166.823,-168.25,3322,0,
166.823,-168.25,3322.2,0,
166.823,-168.25,3322.4,0,
166.823,-168.25,3322.6,0,
166.823,-168.25,3322.8,0,
166.823,-168.25,3323,0,
166.823,-168.25,3323.2,0,
166.823,-168.25,3323.4,0,
166.823,-168.25,3323.6,0,
166.823,-168.25,3323.8,0,
166.823,-168.25,3324,0,
166.823,-168.25,3324.2,0,
166.823,-168.25,3324.4,0,
166.823,-168.25,3324.6,0,
166.823,-168.25,3324.8,0,
166.823,-168.25,3325,0,
166.823,-168.25,3325.2,0,
166.823,-168.25,3325.4,0,
166.823,-168.25,3325.6,0,
166.823,-168.25,3325.8,0,
166.823,-168.25,3326,0,
166.823,-168.25,3326.2,0,
166.823,-168.25,3326.4,0,
166.823,-168.25,3326.6,0,
166.823,-168.25,3326.8,0,
166.823,-168.25,3327,0,
166.823,-168.25,3327.2,0,
166.823,-168.25,3327.4,0,
166.823,-168.25,3327.6,0,
166.823,-168.25,3327.8,0,
166.823,-168.25,3328,0,
166.823,-168.25,3328.2,0,
166.823,-168.25,3328.4,0,
166.823,-168.25,3328.6,0,
166.823,-168.25,3328.8,0,
166.823,-168.25,3329,0,
166.823,-168.25,3329.2,0,
166.823,-168.25,3329.4,0,
166.823,-168.25,3329.6,0,
166.823,-168.25,3329.8,0,
166.823,-168.25,3330,0,
166.823,-168.25,3330.2,0,
166.823,-168.25,3330.4,0,
166.823,-168.25,3330.6,0,
166.823,-168.25,3330.8,0,
166.823,-168.25,3331,0,
166.823,-168.25,3331.2,0,
166.823,-168.25,3331.4,0,
166.823,-168.25,3331.6,0,
166.823,-168.25,3331.8,0,
166.823,-168.25,3332,0,
166.823,-168.25,3332.2,0,
166.823,-168.25,3332.4,0,
166.823,-168.25,3332.6,0,
166.823,-168.25,3332.8,0,
166.823,-168.25,3333,0,
166.823,-168.25,3333.2,0,
166.823,-168.25,3333.4,0,
166.823,-168.25,3333.6,0,
166.823,-168.25,3333.8,0,
166.823,-168.25,3334,0,
166.823,-168.25,3334.2,0,
166.823,-168.25,3334.4,0,
166.823,-168.25,3334.6,0,
166.823,-168.25,3334.8,0,
166.823,-168.25,3335,0,
166.823,-168.25,3335.2,0,
166.823,-168.25,3335.4,0,
166.823,-168.25,3335.6,0,
166.823,-168.25,3335.8,0,
166.823,-168.25,3336,0,
166.823,-168.25,3336.2,0,
166.823,-168.25,3336.4,0,
166.823,-168.25,3336.6,0,
166.823,-168.25,3336.8,0,
166.823,-168.25,3337,0,
166.823,-168.25,3337.2,0,
166.823,-168.25,3337.4,0,
166.823,-168.25,3337.6,0,
166.823,-168.25,3337.8,0,
166.823,-168.25,3338,0,
166.823,-168.25,3338.2,0,
166.823,-168.25,3338.4,0,
166.823,-168.25,3338.6,0,
166.823,-168.25,3338.8,0,
166.823,-168.25,3339,0,
166.823,-168.25,3339.2,0,
166.823,-168.25,3339.4,0,
