motion_type,travel_time,d1,d2,d3,d4
pp_angle,2000,0,0,0,0
pp_angle,2000,0,0,4,0
pp_angle,1000,0,0,0,0
pp_angle,2000,258,0,91,0
pp_angle,1000,258,0,91,0
pp_coor,2000,258,0,181,0
pp_coor,1000,258,0,181,0
pp_coor,2000,258,0,271,0
pp_coor,1000,258,0,271,0
pp_coor,2000,258,0,361,0
pp_coor,1000,258,0,361,0
pp_coor,2000,258,0,451,0
pp_coor,1000,258,0,451,0
pp_coor,2000,258,0,541,0
pp_coor,1000,258,0,541,0
pp_coor,2000,258,0,631,0
pp_coor,1000,258,0,631,0
pp_coor,2000,258,0,721,0
pp_coor,1000,258,0,721,0
pp_coor,2000,258,0,811,0
pp_coor,1000,258,0,811,0
pp_coor,2000,258,0,901,0
pp_coor,1000,258,0,901,0
pp_coor,2000,258,0,991,0
pp_coor,1000,258,0,991,0
pp_coor,2000,258,0,1081,0
pp_coor,1000,258,0,1081,0
pp_coor,2000,258,0,1171,0
pp_coor,1000,258,0,1171,0
pp_coor,2000,258,0,1261,0
pp_coor,1000,258,0,1261,0
pp_coor,2000,258,0,1351,0
pp_coor,1000,258,0,1351,0
pp_coor,2000,258,0,1441,0
pp_coor,1000,258,0,1441,0
pp_coor,2000,258,0,1531,0
pp_coor,1000,258,0,1531,0
pp_coor,2000,258,0,1621,0
pp_coor,1000,258,0,1621,0
pp_coor,2000,258,0,1711,0
pp_coor,1000,258,0,1711,0
pp_coor,2000,258,0,1801,0
pp_coor,1000,258,0,1801,0
pp_coor,2000,258,0,1891,0
pp_coor,1000,258,0,1891,0
pp_coor,2000,258,0,1981,0
pp_coor,1000,258,0,1981,0
pp_coor,2000,258,0,2071,0
pp_coor,1000,258,0,2071,0
pp_coor,2000,258,0,2161,0
pp_coor,1000,258,0,2161,0
pp_coor,2000,258,0,2251,0
pp_coor,1000,258,0,2251,0
pp_coor,2000,258,0,2341,0
pp_coor,1000,258,0,2341,0
pp_coor,2000,258,0,2431,0
pp_coor,1000,258,0,2431,0
pp_coor,2000,258,0,2521,0
pp_coor,1000,258,0,2521,0
pp_coor,2000,258,0,2611,0
pp_coor,1000,258,0,2611,0
pp_coor,2000,258,0,2701,0
pp_coor,1000,258,0,2701,0
pp_coor,2000,258,0,2791,0
pp_coor,1000,258,0,2791,0
pp_coor,2000,258,0,2881,0
pp_coor,1000,258,0,2881,0
pp_coor,10000,258,0,90,0
