motion_type,travel_time,d1,d2,d3,d4
pp_angle,2000,0,0,0,0
pp_angle,2000,360,0,0,0
pp_coor,2000,166.82,-168,90,0
pp_coor,2000,107,100,90,90
pp_coor,2000,107,224,90,90
pp_coor,2000,107,100,90,90
pp_coor,2000,107,224,90,90
pp_coor,2000,107,100,90,90
pp_coor,2000,107,224,90,90
pp_coor,2000,107,100,90,90
pp_coor,2000,107,224,90,90
pp_coor,2000,107,100,90,90
pp_coor,2000,107,224,90,90
pp_coor,2000,107,224,115,90
pp_coor,2000,107,100,115,90
pp_coor,2000,166.82,-168,115,0
pp_coor,4000,166.82,-168,200,0
pp_angle,4000,0,0,0,0
