motion_type,travel_time,d1,d2,d3,d4
pvt,1000,166.82,-168,90,0
pvt,1000,200,0,90,0
pvt,1000,107,125,90,87
pvt,1000,107,224,90,87
pvt,1000,107,125,90,87
pvt,1000,200,0,90,0
pvt,1000,166.82,-168,90,0
pvt,1000,200,0,90,0
pvt,1000,107,125,90,87
pvt,1000,107,224,90,87
pvt,1000,107,125,90,87
pvt,1000,200,0,90,0
pvt,1000,166.82,-168,90,0
pvt,1000,200,0,90,0
pvt,1000,107,125,90,87
pvt,1000,107,224,90,87
pvt,1000,107,125,90,87
pvt,1000,200,0,90,0
pvt,1000,166.82,-168,90,0
pvt,1000,200,0,90,0
pvt,1000,107,125,90,87
pvt,1000,107,224,90,87
pvt,1000,107,125,90,87
pvt,1000,200,0,90,0
pvt,1000,166.82,-168,90,0
pvt,1000,200,0,90,0
pvt,1000,107,125,90,87
pvt,1000,107,224,90,87
pvt,1000,107,125,90,87
pvt,1000,200,0,90,0
pvt,1000,166.82,-168,90,0
pvt,1000,200,0,90,0
pvt,1000,107,125,90,87
pvt,1000,107,224,90,87
pvt,1000,107,125,90,87
pvt,1000,200,0,90,0
pvt,1000,166.82,-168,90,0


