motion_type,travel_time,d1,d2,d3,d4
pp_coor,4000,258,0,200,0
pp_coor,4000,150,0,100,0
pp_coor,4000,258,0,10,0
pp_coor,4000,150,0,50,0
pp_coor,4000,258,0,400,0
pp_coor,4000,150,0,10,0
pp_coor,4000,140,0,100,-20
pp_coor,4000,140,0,10,90
pp_coor,4000,140,-168,50,0
home,4000,40,0,10,0
shuttle,4000,166.82,-168,10,0
home,4000,40,0,10,0
shuttle,4000,166.82,-168,10,0
home,4000,40,0,10,0
pp_coor,4000,210,40,500,0
pp_coor,4000,210,-40,100,0
pp_coor,4000,130,-40,500,0
pp_coor,4000,130,40,100,0
pp_coor,4000,210,40,500,0
pp_coor,4000,210,40,100,0
pp_coor,4000,210,40,500,0
pp_coor,4000,210,40,100,0
pp_coor,4000,210,-40,500,0
pp_coor,4000,130,-40,400,0
pp_coor,4000,130,40,300,0
pp_coor,4000,130,40,200,0
pp_coor,4000,130,0,100,0
pre_past_shelf,4000,107,100,10,90
pickup_from_shelf,4000,107,224,10,90
pre_past_shelf,4000,107,100,10,90
pre_past_shelf,4000,107,100,10,90
pickup_from_shelf,4000,107,224,10,90
pre_past_shelf,4000,107,100,10,90
pre_past_shelf,4000,107,100,10,90
pickup_from_shelf,4000,107,224,10,90
pre_past_shelf,4000,107,100,10,90
pp_coor,4000,150,0,10,0
pp_coor,4000,258,0,10,90
pp_coor,4000,258,0,10,-90
pp_coor,4000,258,0,10,0
home,4000,40,0,10,0
