motion_type,travel_time,d1,d2,d3,d4
pp_angle,2000,0,0,0,0
pp_angle,2000,4,0,0,0
pp_angle,2000,4,0,0,0
pp_coor,2000,107,100,1,90
pp_coor,2000,107,224,1,90
pp_coor,2000,107,224,25,90
pp_coor,2000,107,100,25,90
pp_coor,2000,166.82,-168,25,0
pp_coor,8000,166.82,-168,3250,0
pp_coor,8000,166.82,-168,91,0
pp_coor,2000,107,100,91,90
pp_coor,2000,107,224,91,90
pp_coor,2000,107,224,116,90
pp_coor,2000,107,100,116,90
pp_coor,2000,166.82,-168,116,0
pp_coor,8000,166.82,-168,3250,0
pp_coor,8000,166.82,-168,181,0
pp_coor,2000,107,100,181,90
pp_coor,2000,107,224,181,90
pp_coor,2000,107,224,205,90
pp_coor,2000,107,100,205,90
pp_coor,2000,166.82,-168,205,0
pp_coor,8000,166.82,-168,3250,0
pp_coor,8000,166.82,-168,271,0
pp_coor,2000,107,100,271,90
pp_coor,2000,107,224,271,90
pp_coor,2000,107,224,295,90
pp_coor,2000,107,100,295,90
pp_coor,2000,166.82,-168,295,0
pp_coor,8000,166.82,-168,3250,0
pp_coor,8000,166.82,-168,361,0
pp_coor,2000,107,100,361,90
pp_coor,2000,107,224,361,90
pp_coor,2000,107,224,385,90
pp_coor,2000,107,100,385,90
pp_coor,2000,166.82,-168,385,0
pp_coor,8000,166.82,-168,3250,0
pp_coor,8000,166.82,-168,451,0
pp_coor,2000,107,100,451,90
pp_coor,2000,107,224,451,90
pp_coor,2000,107,224,475,90
pp_coor,2000,107,100,475,90
pp_coor,2000,166.82,-168,475,0
pp_coor,8000,166.82,-168,3250,0
pp_coor,8000,166.82,-168,541,0
pp_coor,2000,107,100,541,90
pp_coor,2000,107,224,541,90
pp_coor,2000,107,224,565,90
pp_coor,2000,107,100,565,90
pp_coor,2000,166.82,-168,565,0
pp_coor,8000,166.82,-168,3250,0
pp_coor,8000,166.82,-168,631,0
pp_coor,2000,107,100,631,90
pp_coor,2000,107,224,631,90
pp_coor,2000,107,224,655,90
pp_coor,2000,107,100,655,90
pp_coor,2000,166.82,-168,655,0
pp_coor,8000,166.82,-168,3250,0
pp_coor,8000,166.82,-168,721,0
pp_coor,2000,107,100,721,90
pp_coor,2000,107,224,721,90
pp_coor,2000,107,224,745,90
pp_coor,2000,107,100,745,90
pp_coor,2000,166.82,-168,745,0
pp_coor,8000,166.82,-168,3250,0
pp_coor,8000,166.82,-168,811,0
pp_coor,2000,107,100,811,90
pp_coor,2000,107,224,811,90
pp_coor,2000,107,224,835,90
pp_coor,2000,107,100,835,90
pp_coor,2000,166.82,-168,835,0
pp_coor,8000,166.82,-168,3250,0
pp_coor,8000,166.82,-168,991,0
pp_coor,2000,107,100,991,90
pp_coor,2000,107,224,991,90
pp_coor,2000,107,224,1015,90
pp_coor,2000,107,100,1015,90
pp_coor,2000,166.82,-168,1015,0
pp_coor,8000,166.82,-168,3250,0
pp_coor,8000,166.82,-168,1081,0
pp_coor,2000,107,100,1081,90
pp_coor,2000,107,224,1081,90
pp_coor,2000,107,224,1105,90
pp_coor,2000,107,100,1105,90
pp_coor,2000,166.82,-168,1105,0
pp_coor,8000,166.82,-168,3250,0
pp_coor,8000,166.82,-168,1171,0
pp_coor,2000,107,100,1171,90
pp_coor,2000,107,224,1171,90
pp_coor,2000,107,224,1195,90
pp_coor,2000,107,100,1195,90
pp_coor,2000,166.82,-168,1195,0
pp_coor,8000,166.82,-168,3250,0
pp_coor,8000,166.82,-168,1261,0
pp_coor,2000,107,100,1261,90
pp_coor,2000,107,224,1261,90
pp_coor,2000,107,224,1285,90
pp_coor,2000,107,100,1285,90
pp_coor,2000,166.82,-168,1285,0
pp_coor,8000,166.82,-168,3250,0
pp_coor,8000,166.82,-168,1351,0
pp_coor,2000,107,100,1351,90
pp_coor,2000,107,224,1351,90
pp_coor,2000,107,224,1375,90
pp_coor,2000,107,100,1375,90
pp_coor,2000,166.82,-168,1375,0
pp_coor,8000,166.82,-168,3250,0
pp_coor,8000,166.82,-168,1441,0
pp_coor,2000,107,100,1441,90
pp_coor,2000,107,224,1441,90
pp_coor,2000,107,224,1465,90
pp_coor,2000,107,100,1465,90
pp_coor,2000,166.82,-168,1465,0
pp_coor,8000,166.82,-168,3250,0
pp_coor,8000,166.82,-168,1531,0
pp_coor,2000,107,100,1531,90
pp_coor,2000,107,224,1531,90
pp_coor,2000,107,224,1555,90
pp_coor,2000,107,100,1555,90
pp_coor,2000,166.82,-168,1555,0
pp_coor,8000,166.82,-168,3250,0
pp_coor,8000,166.82,-168,1621,0
pp_coor,2000,107,100,1621,90
pp_coor,2000,107,224,1621,90
pp_coor,2000,107,224,1645,90
pp_coor,2000,107,100,1645,90
pp_coor,2000,166.82,-168,1645,0
pp_coor,4000,166.82,-168,3250,0
pp_coor,4000,166.82,-168,1711,0
pp_coor,2000,107,100,1711,90
pp_coor,2000,107,224,1711,90
pp_coor,2000,107,224,1735,90
pp_coor,2000,107,100,1735,90
pp_coor,2000,166.82,-168,1735,0
pp_coor,4000,166.82,-168,3250,0
pp_coor,4000,166.82,-168,1801,0
pp_coor,2000,107,100,1801,90
pp_coor,2000,107,224,1801,90
pp_coor,2000,107,224,1825,90
pp_coor,2000,107,100,1825,90
pp_coor,2000,166.82,-168,1825,0
pp_coor,4000,166.82,-168,3250,0
pp_coor,4000,166.82,-168,1891,0
pp_coor,2000,107,100,1891,90
pp_coor,2000,107,224,1891,90
pp_coor,2000,107,224,1915,90
pp_coor,2000,107,100,1915,90
pp_coor,2000,166.82,-168,1915,0
pp_coor,4000,166.82,-168,3250,0
pp_coor,4000,166.82,-168,1981,0
pp_coor,2000,107,100,1981,90
pp_coor,2000,107,224,1981,90
pp_coor,2000,107,224,2005,90
pp_coor,2000,107,100,2005,90
pp_coor,2000,166.82,-168,2005,0
pp_coor,4000,166.82,-168,3250,0
pp_coor,4000,166.82,-168,2071,0
pp_coor,2000,107,100,2071,90
pp_coor,2000,107,224,2071,90
pp_coor,2000,107,224,2095,90
pp_coor,2000,107,100,2095,90
pp_coor,2000,166.82,-168,2095,0
pp_coor,4000,166.82,-168,3250,0
pp_coor,4000,166.82,-168,2161,0
pp_coor,2000,107,100,2161,90
pp_coor,2000,107,224,2161,90
pp_coor,2000,107,224,2185,90
pp_coor,2000,107,100,2185,90
pp_coor,2000,166.82,-168,2185,0
pp_coor,4000,166.82,-168,3250,0
pp_coor,4000,166.82,-168,2251,0
pp_coor,2000,107,100,2251,90
pp_coor,2000,107,224,2251,90
pp_coor,2000,107,224,2275,90
pp_coor,2000,107,100,2275,90
pp_coor,2000,166.82,-168,2275,0
pp_coor,4000,166.82,-168,3250,0
pp_coor,4000,166.82,-168,2341,0
pp_coor,2000,107,100,2341,90
pp_coor,2000,107,224,2341,90
pp_coor,2000,107,224,2365,90
