motion_type,travel_time,d1,d2,d3,d4
pp_angle,2000,0,0,0,0
pp_angle,4000,360,0,0,0
pp_coor,2000,166.82,-168,90,0
pp_coor,2000,107,125,90,90
sp_coor,2000,107,224,90,90
sp_coor,2000,107,125,90,90
sp_coor,2000,107,224,90,90
sp_coor,2000,107,125,90,90
sp_coor,2000,107,224,90,90
sp_coor,2000,107,125,90,90
sp_coor,2000,107,224,90,90
sp_coor,2000,107,125,90,90
sp_coor,2000,107,224,90,90
pp_coor,2000,107,224,115,90
sp_coor,2000,107,125,115,90
pp_coor,2000,166.82,-168,115,0
sp_angle,2000,460,0,0,0
pp_angle,4000,0,0,0,0
